css-1m051bw,css-qgunke,css-1fnccdf,css-1fnccdf 2,css-chan6m,raw__09f24__T4Ezm,css-1fnccdf 3,css-1lr1m88,css-1lr1m88 2,,,,,,,
Evelyn Y.,"Los Angeles, CA",2,9,1/22/2021,"Came in and had a good experience with Dr. Peter Chung and some very helpful nurses (unfortunately did not get their names.) Per Dr. Chung, my visit was waved because I took a covid test, but for some reason, I still received a bill from Anaheim Urgent Care. I called the Billing Dept and Christopher was very helpful in resolving my issue.",41,1,,,,,,,,
David V.,"Los Angeles, CA",0,1,12/18/2020,"Very rude, unprofessional people. The lady taking my paper work smelled like alcohol through her mask and was being very rude. She then saw my foreign i.d and said it wasn't her fault I was a border crosses. I lost my job because I couldn't get my covid test and they're still on the job destroying people's lives.",,1,1,,,,,,,
Miesha C.,"Hawthorne, CA",0,2,9/28/2021,"The Downtown Urgent Care staff is friendly, helpful and boy do they have patience!! In this season of Covid and having loads of patients they never loose their courteous demeanor.  Keep up the good work.",,,,,,,,,,
Shanika S.,"Downey, CA",0,5,9/28/2021,I've been coming here to get covid test done for me and my daughter...the office is very clean an the staff has good customer service. I had the pleasure of receiving great Customer Service from Tracey she made my 4 year old daughter feel comfortable while getting her covid test done..definitely the Best Urgent Care I've been to,,,,,,,,,,
Abagael W.,"Atlanta, GA",0,4,1/1/2021,"My boyfriend and I woke up on Christmas Eve not feeling great. Being the holiday, many testing locations were closed but we wanted to get tested ASAP and Downtown Urgent Care was open. We waited in line for four hours but they obviously had a system and were doing everything they absolutely could to move the long line of people. Once we finally got inside for our test we were warmly greeted and we'll taken care of. Our nurse was obviously tired as she kept scrambling her words but she turned it into a laugh and made us smile. The doctor was patient with our questions and didn't seem like he was rushing us out as I had expected with the line they had outside. They're risking their lives for the people of LA and they deserve infinite stars. Thank you.",,1,,,,,,,,
Kent N.,"Downtown, Los Angeles, CA",0,4,9/22/2021,Very quick & attentive service. Shout out to Anh and who showed me her magic trick to taking Covid tests which I have actually used on every Covid test since. I even told my little niece to help her own Covid testing experience when she was a little nervous. Thank you Anh!,,,,,,,,,,
Sasha T.,"Los Angeles, CA",213,325,3/18/2020,"My last visit to Downtown Urgent Care was not nearly as positive a visit as my first one a few years ago.  My entire ""checkup"" lasted 5 minutes, where the practitioner told me that they didn't have the proper equipment to check my ears.  (I've been having problems with not hearing great due to congestion.)So all they could do was hand me a piece of paper with the info for Ear Doctors, and that cost me over a hundred bucks.What a complete bummer:  a waste of time and money!",19,2,1,,,,,,,
Mark L.,"Los Angeles, CA",0,2,8/4/2021,"So I came here Monday 8/2/21 for some blood work/ekg and urine analysis. The ekg took beyond forever to complete, the assistant mentioned it was probably because I was wearing lotion. Not only that, but as she was putting on the pads/wires for the ekg, it kept pinching my skin uncomfortably. I went to a local ER shortly after this visit and they were able to complete just fine and within minutes and without being pinched. The assistant who also drew my blood gave me massive hematoma and from the looks of it burst my vein. After she withdrew the needle, it hurt in no other way I've felt before getting blood drawn in my life. To add to this, when she applied the gauze and bandage tape, she wrapped it way too tight, causing a huge lump in the area she drew blood from. It was almost unreal to see it was almost the size of a golf ball. These pictures attached are. I even showed the physician and her response was ""wow that's odd"". Very disappointing. Since then the bruising has only gotten worse and it continues to hurt. I urge everyone to stay away from this place. All they cared about is if they were going to be paid at the end of the visit and gave not only 2 incorrect EKG readings but also this terrible hematoma/bursted vein. Anyone who sees this message, run away from this establishment.",6,,,,,,,,,
Cindy E.,"Santa Clarita, CA",23,156,7/9/2019,"Very impressed with facility and most important with their service. From front desk, to doctor visit.The staff up front was super prompt and very friendly! We walked in with no appointment and didn't wait at all. We were immediately greeted and handed paperwork. They over staff the front desk so well, they made out visit so quick with absolutely NO WAIT TIME, even when taken in to a room, doctor walked right in after nurse walked out.  The doctor took time to listen, ask and explain everything well! I personally have Kaiser but I've opted for coming in here as a cash patient. They're IV treatments are GREAT!! I've included a picture for you all to get an idea of prices and list of benefits for each one of them!!!! AMAZING! They work instantly!!! It's like a magic picker up!!!",67,,,,,,,,,
Melissa N.,"Pasadena, CA",193,20,6/20/2021,I had a very pleasant experience during my visit. Anh and Dr. Sarah were friendly and made me feel right at home. I would definitely recommend this urgent care facility.,7,,,,,,,,,
Julie S.,"West Hollywood, CA",37,8,11/28/2020,"Staff messed up test results by confusing my daughter with someone else. They called the first name only,  then when the other person showed up and said that's me,  they didn't follow protocol to confirm dob, address,  phone #, anything to confirm that they have the right person.  Waste of time and will contact attorney on Monday.",,1,,,,,,,,
Imani G.,"Van Nuys, Los Angeles, CA",0,22,8/3/2021,"HI, I just called and am looking to make an appointment I do not know your covid protocol if I can walk in or not but you are closest to my home and are in my network. I fell a few days ago here at home and I think I broke my tailbone. Sitting, laying down on my back, driving and using the restroom have become unbearable. It is getting worse and worse by the day and I am out of options. I do not know what to do. I keep trying to stretch but the slightest movement is excruciating. Ive tried icing it, soaking with epson salt. Nothing is helping. Please let me come in as soon as possible. I will be in first thing in the morning to avoid a wait. Thank you.",6,,,,,,,,,
Michaelsam C.,"Northeast Los Angeles, Los Angeles, CA",0,7,8/1/2021,"Just left UrgentMed and had such a great experience. The best experience I've ever had at any urgent care. Anh was so great and made sure that we got everything we needed. The P.A., Sandy, was very thorough as well. Overall, such a great, caring facility.",3,,,,,,,,,
Ashlynn C.,"Los Angeles, CA",71,264,11/20/2019,"I feel like I'm here every other day & i need a frequent stamp card Plus side, the girls here are sooo friendly i don't really mind coming + it's 5 minutes from my house. They do testing for any illnesses on site which is super quick & painless & not to mention they do  have most medicine you need on site so you don't need to drive somewhere else which is amazing in dtla because nowhere has parking BUT this place does so that's really nice. I love the staff here they feel like family ( probably because I'm literally always getting sick so by now we're all on first name basis) hahah. But urgent cares are normally a headache and a half to go to but this is prettY much my primary care physician - and i don't ever worry about wait times and they don't hit you over the head with prices so that's pretty cool too! Super super clean offices and thatS always reassuring. I should've wrote this review like 10 months ago but better late then never. :) They have offices all over too before this i would drive to Hollywood for the ladies there but that office is soooo busy now & this ones closer to my work & home now.",156,3,1,,,,,,,
